contrast,pair_id,first_z,second_z,difference,base_difference,post_minus_base
confusion_resolution,1,0.7279844880104065,0.19874338805675507,0.5292410999536514,0.5786563456058502,-0.04941524565219879
confusion_resolution,2,1.2239999771118164,0.921780526638031,0.3022194504737854,0.2922249436378479,0.0099945068359375
confusion_resolution,3,1.2858753204345703,0.769741952419281,0.5161333680152893,0.3457832336425781,0.17035013437271118
confusion_resolution,4,0.9418751001358032,0.7641854882240295,0.17768961191177368,0.1881428658962249,-0.01045325398445121
distress_relief,1,-0.8351356983184814,-0.6403425335884094,-0.19479316473007202,-0.2644975781440735,0.06970441341400146
distress_relief,2,-1.623245358467102,-1.2135274410247803,-0.4097179174423218,-0.4081414937973022,-0.0015764236450195868
distress_relief,3,-0.3788536489009857,-0.6692643761634827,0.29041072726249695,-0.1577479243278503,0.44815865159034723
distress_relief,4,-1.0785897970199585,-0.6082280278205872,-0.47036176919937134,-0.4211363792419433,-0.049225389957428034
failure_success,1,0.9942435026168823,0.0025684672873467207,0.9916750353295356,0.8365154266357422,0.15515960869379342
failure_success,2,0.6824012994766235,-0.14209264516830444,0.824493944644928,0.3647757992148399,0.4597181454300881
failure_success,3,0.5769616365432739,-0.8306825160980225,1.4076441526412964,0.7228473722934723,0.6847967803478241
failure_success,4,1.5108416080474854,0.5720351338386536,0.9388064742088318,1.0939518883824348,-0.15514541417360306
incompetence_competence,1,0.44387882947921753,-0.09256155043840408,0.5364403799176216,0.1904120594263076,0.34602832049131405
incompetence_competence,2,0.5398939251899719,-0.4400274455547333,0.9799213707447052,0.2834794111549854,0.6964419595897198
incompetence_competence,3,0.6275631785392761,-0.2380123734474182,0.8655755519866943,0.3099242970347404,0.5556512549519539
incompetence_competence,4,-0.24513362348079681,-0.10371589660644531,-0.1414177268743515,-0.1276763379573822,-0.0137413889169693
rejection_acceptance,1,1.026516318321228,-0.35997194051742554,1.3864882588386536,1.1936739087104795,0.19281435012817405
rejection_acceptance,2,0.6632801294326782,-0.7936052083969116,1.4568853378295898,1.262579321861267,0.19430601596832275
rejection_acceptance,3,0.807314395904541,-0.3682902753353119,1.175604671239853,0.900945484638214,0.2746591866016389
rejection_acceptance,4,-0.01602761633694172,-0.44317805767059326,0.42715044133365154,0.427218534052372,-6.80927187204361e-05
self_other,1,-0.8570232391357422,-0.960672914981842,0.10364967584609985,0.3663429319858551,-0.26269325613975525
self_other,2,-0.7078069448471069,-0.9832119941711426,0.27540504932403564,0.1185380220413208,0.15686702728271484
self_other,3,-0.37137535214424133,-0.705856204032898,0.3344808518886566,0.3389722406864166,-0.00449138879776001
self_other,4,-1.0846381187438965,-0.8673853874206543,-0.2172527313232422,-0.145804762840271,-0.07144796848297119
self_other,5,-0.9113990068435669,-0.6311928033828735,-0.28020620346069336,-0.0078130364418029,-0.27239316701889044
shame_pride,1,0.6210677623748779,-0.018375257030129433,0.6394430194050074,0.7756124436855316,-0.13616942428052425
shame_pride,2,0.6474508047103882,-0.05205034464597702,0.6995011493563652,0.4559711366891861,0.2435300126671791
shame_pride,3,0.08775348961353302,-0.44469648599624634,0.5324499756097794,0.5653925240039825,-0.032942548394203186
shame_pride,4,0.2815999388694763,-0.05639467015862465,0.33799460902810097,0.4029070362448692,-0.06491242721676821
